0,0,0,0,0,0
3.636364,-4.545455,0,-1.818182,2.727273,0
7.272727,-9.090909,0,-3.636364,5.454545,0
10.909091,-13.636364,0,-5.454545,8.181818,0
14.545455,-18.181818,0,-7.272727,10.909091,0
18.181818,-22.727273,0,-9.090909,13.636364,0
21.818182,-27.272727,0,-10.909091,16.363636,0
25.454545,-31.818182,0,-12.727273,19.090909,0
29.090909,-36.363636,0,-14.545455,21.818182,0
32.727273,-40.909091,0,-16.363636,24.545455,0
36.363636,-45.454545,0,-18.181818,27.272727,0
40,-50,0,-20,30,0
36.363636,-50.909091,0,-18.181818,27.272727,0
32.727273,-51.818182,0,-16.363636,24.545455,0
29.090909,-52.727273,0,-14.545455,21.818182,0
25.454545,-53.636364,0,-12.727273,19.090909,0
21.818182,-54.545455,0,-10.909091,16.363636,0
18.181818,-55.454545,0,-9.090909,13.636364,0
14.545455,-56.363636,0,-7.272727,10.909091,0
10.909091,-57.272727,0,-5.454545,8.181818,0
7.272727,-58.181818,0,-3.636364,5.454545,0
3.636364,-59.090909,0,-1.818182,2.727273,0
0,-60,0,0,0,0
-5,-55.454545,0,-15,0,0
-10,-50.909091,0,-30,0,0
-15,-46.363636,0,-45,0,0
-20,-41.818182,0,-60,0,0
-25,-37.272727,0,-75,0,0
-30,-32.727273,0,-90,0,0
-35,-28.181818,0,-105,0,0
-40,-23.636364,0,-120,0,0
-45,-19.090909,0,-135,0,0
-50,-14.545455,0,-150,0,0
-55,-10,0,-165,0,0
-62.272727,-5.454545,0,-165,-1.818182,0
-69.545455,-0.909091,0,-165,-3.636364,0
-76.818182,3.636364,0,-165,-5.454545,0
-84.090909,8.181818,0,-165,-7.272727,0
-91.363636,12.727273,0,-165,-9.090909,0
-98.636364,17.272727,0,-165,-10.909091,0
-105.909091,21.818182,0,-165,-12.727273,0
-113.181818,26.363636,0,-165,-14.545455,0
-120.454545,30.909091,0,-165,-16.363636,0
-127.727273,35.454545,0,-165,-18.181818,0
-135,40,0,-165,-20,0
-137.272727,40.909091,0,-163.636364,-20,0
-139.545455,41.818182,0,-162.272727,-20,0
-141.818182,42.727273,0,-160.909091,-20,0
-144.090909,43.636364,0,-159.545455,-20,0
-146.363636,44.545455,0,-158.181818,-20,0
-148.636364,45.454545,0,-156.818182,-20,0
-150.909091,46.363636,0,-155.454545,-20,0
-153.181818,47.272727,0,-154.090909,-20,0
-155.454545,48.181818,0,-152.727273,-20,0
-157.727273,49.090909,0,-151.363636,-20,0
-160,50,0,-150,-20,0
-160,45.454545,0,-154.545455,-18.181818,0
-160,40.909091,0,-159.090909,-16.363636,0
-160,36.363636,0,-163.636364,-14.545455,0
-160,31.818182,0,-168.181818,-12.727273,0
-160,27.272727,0,-172.727273,-10.909091,0
-160,22.727273,0,-177.272727,-9.090909,0
-160,18.181818,0,-181.818182,-7.272727,0
-160,13.636364,0,-186.363636,-5.454545,0
-160,9.090909,0,-190.909091,-3.636364,0
-160,4.545455,0,-195.454545,-1.818182,0
-160,0,0,-200,0,0
-160.909091,7.272727,0,-201.818182,6.818182,0
-161.818182,14.545455,0,-203.636364,13.636364,0
-162.727273,21.818182,0,-205.454545,20.454545,0
-163.636364,29.090909,0,-207.272727,27.272727,0
-164.545455,36.363636,0,-209.090909,34.090909,0
-165.454545,43.636364,0,-210.909091,40.909091,0
-166.363636,50.909091,0,-212.727273,47.727273,0
-167.272727,58.181818,0,-214.545455,54.545455,0
-168.181818,65.454545,0,-216.363636,61.363636,0
-169.090909,72.727273,0,-218.181818,68.181818,0
-170,80,0,-220,75,0
-170.909091,76.363636,0,-216.363636,73.636364,0
-171.818182,72.727273,0,-212.727273,72.272727,0
-172.727273,69.090909,0,-209.090909,70.909091,0
-173.636364,65.454545,0,-205.454545,69.545455,0
-174.545455,61.818182,0,-201.818182,68.181818,0
-175.454545,58.181818,0,-198.181818,66.818182,0
-176.363636,54.545455,0,-194.545455,65.454545,0
-177.272727,50.909091,0,-190.909091,64.090909,0
-178.181818,47.272727,0,-187.272727,62.727273,0
-179.090909,43.636364,0,-183.636364,61.363636,0
-180,40,0,-180,60,0
-163.636364,36.363636,0,-175.454545,55.454545,0
-147.272727,32.727273,0,-170.909091,50.909091,0
-130.909091,29.090909,0,-166.363636,46.363636,0
-114.545455,25.454545,0,-161.818182,41.818182,0
-98.181818,21.818182,0,-157.272727,37.272727,0
-81.818182,18.181818,0,-152.727273,32.727273,0
-65.454545,14.545455,0,-148.181818,28.181818,0
-49.090909,10.909091,0,-143.636364,23.636364,0
-32.727273,7.272727,0,-139.090909,19.090909,0
-16.363636,3.636364,0,-134.545455,14.545455,0
0,0,0,-125,10,0
0,0,0,-117.727273,6.363636,0
0,0,0,-110.454545,2.727273,0
0,0,0,-103.181818,-0.909091,0
0,0,0,-95.909091,-4.545455,0
0,0,0,-88.636364,-8.181818,0
0,0,0,-81.363636,-11.818182,0
0,0,0,-74.090909,-15.454545,0
0,0,0,-66.818182,-19.090909,0
0,0,0,-59.545455,-22.727273,0
0,0,0,-52.272727,-26.363636,0
0,0,0,-45,-30,0
0,0,0,-40.909091,-31.818182,0
0,0,0,-36.818182,-33.636364,0
0,0,0,-32.727273,-35.454545,0
0,0,0,-28.636364,-37.272727,0
0,0,0,-24.545455,-39.090909,0
0,0,0,-20.454545,-40.909091,0
0,0,0,-16.363636,-42.727273,0
0,0,0,-12.272727,-44.545455,0
0,0,0,-8.181818,-46.363636,0
0,0,0,-4.090909,-48.181818,0
0,0,0,0,-50,0
0,0,0,0,-45.454545,0
0,0,0,0,-40.909091,0
0,0,0,0,-36.363636,0
0,0,0,0,-31.818182,0
0,0,0,0,-27.272727,0
0,0,0,0,-22.727273,0
0,0,0,0,-18.181818,0
0,0,0,0,-13.636364,0
0,0,0,0,-9.090909,0
0,0,0,0,-4.545455,0
0,0,0,0,0,0